State,City,FAA,IATA,ICAO,Airport,Role,Enplanements
Georgia,Atlanta,ATL,ATL,KATL,Hartsfield–Jackson Atlanta International Airport,P-L,"50,501,858"
Califronia,Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"39,636,042"
Illinois,Chicago,ORD,ORD,KORD,Chicago O'Hare International Airport,P-L,"37,589,899"
Texas,Dallas,DFW,DFW,KDFW,Dallas/Fort Worth International Airport,P-L,"31,283,579"
New York,New York,JFK,JFK,KJFK,John F. Kennedy International Airport (was New York International Airport),P-L,"29,533,154"
Colorado,Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"28,267,394"
Califronia,San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"25,707,101"
Florida,Orlando,MCO,MCO,KMCO,Orlando International Airport,P-L,"24,562,271"
Nevada,Las Vegas,LAS,LAS,KLAS,McCarran International Airport,P-L,"22,833,267"
Washington,Seattle / Tacoma (SeaTac),SEA,SEA,KSEA,Seattle–Tacoma International Airport,P-L,"21,887,110"
North Carolina,Charlotte,CLT,CLT,KCLT,Charlotte/Douglas International Airport,P-L,"21,511,880"
Florida,Miami,MIA,MIA,KMIA,Miami International Airport,P-L,"21,421,031"
Arizona,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"20,896,265"
Texas,Houston,IAH,IAH,KIAH,George Bush Intercontinental Airport,P-L,"20,062,072"
New Jersey,New York / Newark,EWR,EWR,KEWR,Newark Liberty International Airport,P-L,"19,923,009"
Minnesota,Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,"18,123,844"
Florida,Fort Lauderdale,FLL,FLL,KFLL,Fort Lauderdale–Hollywood International Airport,P-L,"17,950,989"
Massachusetts,Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"17,759,044"
Michigan,Detroit,DTW,DTW,KDTW,Detroit Metropolitan Airport,P-L,"16,847,135"
Pennsylvania,Philadelphia,PHL,PHL,KPHL,Philadelphia International Airport,P-L,"15,285,948"
New York,New York,LGA,LGA,KLGA,LaGuardia Airport (and Marine Air Terminal),P-L,"14,614,802"
Maine,Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Airport,P-L,"13,371,816"
Virginia,"Washington, D.C. / Arlington County",DCA,DCA,KDCA,Ronald Reagan Washington National Airport,P-L,"11,470,854"
Utah,Salt Lake City,SLC,SLC,KSLC,Salt Lake City International Airport,P-L,"11,143,738"
Illinois,Chicago,MDW,MDW,KMDW,Chicago Midway International Airport,P-L,"11,044,387"
Florida,Tampa,TPA,TPA,KTPA,Tampa International Airport,P-L,"10,941,173"
Virginia,"Washington, D.C. / Dulles / Chantilly",IAD,IAD,KIAD,Washington Dulles International Airport,P-L,"10,596,942"
Califronia,San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field),P-L,"10,340,164"
Hawaii,"Honolulu, Oahu",HNL,HNL,PHNL,Daniel K. Inouye International Airport,P-L,"9,656,340"
Oregon,Portland,PDX,PDX,KPDX,Portland International Airport,P-L,"9,071,154"
Texas,Dallas,DAL,DAL,KDAL,Dallas Love Field,P-M,"7,554,596"
Missouri,St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,"6,793,076"
Tennessee,Nashville,BNA,BNA,KBNA,Nashville International Airport (Berry Field),P-M,"6,338,517"
Texas,Houston,HOU,HOU,KHOU,William P. Hobby Airport,P-M,"6,285,181"
Texas,Austin,AUS,AUS,KAUS,Austin–Bergstrom International Airport,P-M,"6,095,545"
Califronia,Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,"5,934,639"
Louisiana,New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"5,569,705"
North Carolina,Raleigh,RDU,RDU,KRDU,Raleigh–Durham International Airport,P-M,"5,401,714"
Missouri,Kansas City,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Continent International Airport),P-M,"5,391,557"
Califronia,San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,"5,321,603"
Califronia,Orange County,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport),P-M,"5,217,242"
Florida,Fort Myers,RSW,RSW,KRSW,Southwest Florida International Airport,P-M,"5,044,024"
Califronia,Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"4,969,366"
Pennsylvania,Pittsburgh,PIT,PIT,KPIT,Pittsburgh International Airport,P-M,"4,670,954"
Puerto Rico,San Juan / Carolina,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,"4,343,354"
Califronia,Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"4,217,366"
Indiana,Indianapolis,IND,IND,KIND,Indianapolis International Airport,P-M,"4,216,766"
Texas,San Antonio,SAT,SAT,KSAT,San Antonio International Airport,P-M,"4,179,994"
Ohio,Cleveland,CLE,CLE,KCLE,Cleveland Hopkins International Airport,P-M,"4,083,476"
Ohio,Columbus,CMH,CMH,KCMH,John Glenn Columbus International Airport,P-M,"3,567,864"
Wisconsin,Milwaukee,MKE,MKE,KMKE,Milwaukee Mitchell International Airport,P-M,"3,496,724"
Florida,Jacksonville,JAX,JAX,KJAX,Jacksonville International Airport,P-M,"3,479,923"
Hawaii,"Kahului, Maui",OGG,OGG,PHOG,Kahului Airport,P-M,"3,352,813"
Kentucky,Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"3,269,979"
Florida,West Palm Beach,PBI,PBI,KPBI,Palm Beach International Airport,P-M,"3,100,624"
Connecticut,Hartford,BDL,BDL,KBDL,Bradley International Airport,P-M,"2,982,194"
Alaska,Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,563,524"
New York,Buffalo,BUF,BUF,KBUF,Buffalo Niagara International Airport,P-M,"2,348,512"
New Mexico,Albuquerque,ABQ,ABQ,KABQ,Albuquerque International Sunport,P-M,"2,341,719"
Nebraska,Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"2,127,387"
Califronia,Burbank,BUR,BUR,KBUR,Hollywood Burbank Airport (was Bob Hope Airport),P-M,"2,077,892"
Tennessee,Memphis,MEM,MEM,KMEM,Memphis International Airport,P-S,"2,016,089"
South Carolina,Charleston,CHS,CHS,KCHS,Charleston International Airport / Charleston AFB,P-S,"1,811,695"
Rhode Island,Providence,PVD,PVD,KPVD,Theodore Francis Green State Airport,P-S,"1,803,000"
Oklahoma,Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport,P-S,"1,796,473"
Virginia,Richmond,RIC,RIC,KRIC,Richmond International Airport (Byrd Field),P-S,"1,777,648"
Nevada,Reno,RNO,RNO,KRNO,Reno/Tahoe International Airport,P-S,"1,771,864"
Idaho,Boise,BOI,BOI,KBOI,Boise Airport (Boise Air Terminal) (Gowen Field),P-S,"1,633,507"
Kentucky,Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,"1,631,494"
Virginia,Norfolk,ORF,ORF,KORF,Norfolk International Airport,P-S,"1,602,631"
Florida,Sanford,SFB,SFB,KSFB,Orlando Sanford International Airport,P-S,"1,601,614"
Arizona,Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,594,594"
Washington,Spokane,GEG,GEG,KGEG,Spokane International Airport (Geiger Field),P-S,"1,570,652"
Hawaii,"Kailua-Kona, Hawaii",KOA,KOA,PHKO,Ellison Onizuka Kona International Airport at Keahole,P-S,"1,569,602"
Hawaii,"Lihue, Kauai",LIH,LIH,PHLI,Lihue Airport,P-S,"1,458,940"
Guam,Agana / Tamuning,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-S,"1,444,299"
Texas,El Paso,ELP,ELP,KELP,El Paso International Airport,P-S,"1,414,376"
New York,Albany,ALB,ALB,KALB,Albany International Airport,P-S,"1,393,666"
Califronia,Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"1,386,357"
Oklahoma,Tulsa,TUL,TUL,KTUL,Tulsa International Airport,P-S,"1,342,315"
Michigan,Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,334,979"
Alabama,Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,304,467"
